uuid;default;account_amount_added_12_24m;account_days_in_dc_12_24m;account_days_in_rem_12_24m;account_days_in_term_12_24m;account_incoming_debt_vs_paid_0_24m;account_status;account_worst_status_0_3m;account_worst_status_12_24m;account_worst_status_3_6m;account_worst_status_6_12m;age;avg_payment_span_0_12m;avg_payment_span_0_3m;merchant_category;merchant_group;has_paid;max_paid_inv_0_12m;max_paid_inv_0_24m;name_in_email;num_active_div_by_paid_inv_0_12m;num_active_inv;num_arch_dc_0_12m;num_arch_dc_12_24m;num_arch_ok_0_12m;num_arch_ok_12_24m;num_arch_rem_0_12m;num_arch_written_off_0_12m;num_arch_written_off_12_24m;num_unpaid_bills;status_last_archived_0_24m;status_2nd_last_archived_0_24m;status_3rd_last_archived_0_24m;status_max_archived_0_6_months;status_max_archived_0_12_months;status_max_archived_0_24_months;recovery_debt;sum_capital_paid_account_0_12m;sum_capital_paid_account_12_24m;sum_paid_inv_0_12m;time_hours;worst_status_active_inv
b4db28d7-4188-4d25-b52b-54d7dae2c595;0;0;0;0;0;NA;NA;NA;NA;NA;NA;37;12;12.6666666667;General Shoes & Clothing;Clothing & Shoes;TRUE;3785;4485;L1+F;0;0;0;0;22;21;0;0;0;0;1;1;1;1;1;1;0;0;0;41451;19.8994444444;NA
4c3d01d5-c3b7-4577-a169-1198894ae461;0;0;0;0;0;NA;NA;NA;NA;NA;NA;19;6.8;6.75;Diversified entertainment;Entertainment;TRUE;7290;7290;no_match;0;0;0;0;5;0;0;0;0;0;1;1;1;1;1;1;0;0;0;21677;10.4891666667;NA
d68c5e67-da3c-41f8-8473-b45842e401b5;0;0;0;0;0;0.0006969127;1;1;NA;1;1;26;18.6666666667;5;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;4640;27319;L1+F;2;6;0;0;2;5;1;0;0;7;1;2;1;1;2;2;0;10960;0;13570;11.4855555556;1
454ac350-12c9-4db5-b1cd-930035b50f10;0;3529;0;0;0;0;1;1;1;1;1;65;18;16.5;General Shoes & Clothing;Clothing & Shoes;TRUE;3460;3460;F+L;0;0;0;0;6;2;0;0;0;0;1;1;1;1;1;2;0;3480;0;14090;15.3447222222;NA
0714405e-0328-43f9-9be2-63df4c79b4c2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;77.5;NA;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;13658;13658;F1+L;0.3333333333;1;2;0;0;5;0;0;0;1;3;3;2;0;3;3;0;0;0;25417;22.7102777778;1
74c73bef-ceaa-43fa-93da-d5eb5b5c69f5;0;0;0;0;0;NA;NA;NA;NA;NA;NA;29;17.8;NA;Diversified children products;Children Products;TRUE;19772;19772;L1+F;0;0;0;0;4;6;1;0;0;0;1;1;1;0;2;2;0;0;0;35802;13.3627777778;NA
c8309dc8-4c77-42b1-8adb-240bd6907a95;0;0;0;0;0;NA;NA;NA;NA;NA;NA;70;5.875;3;Diversified entertainment;Entertainment;TRUE;3380;3790;F;0;0;0;0;8;6;0;0;0;0;1;1;1;1;1;1;0;0;0;14010;20.2652777778;NA
3318bd21-2878-4f72-a98d-0a98aee326d4;0;0;0;0;0;NA;NA;NA;NA;NA;NA;23;NA;NA;Diversified entertainment;Entertainment;FALSE;0;0;L1+F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;9.6686111111;NA
e0fcd3ce-4b59-44dd-b427-c87f32e1de76;0;0;0;0;0;0.0109375;1;1;NA;1;1;58;NA;NA;Pet supplies;Home & Garden;TRUE;895;6833;L1+F;NA;1;0;0;0;1;0;0;0;2;1;0;0;0;0;1;0;7389;0;1790;14.0022222222;1
0675c0c8-5b2f-4560-bd48-88e0693804d4;0;15122;0;0;0;0.0034348706;1;1;1;1;1;55;14.7647058824;15.4;Diversified entertainment;Entertainment;TRUE;18769;18769;Nick;0;0;0;0;17;7;0;0;0;1;1;1;1;1;1;2;0;16408;15050;140536;17.2283333333;NA
34f6b5fa-a68c-4823-886c-492cdf8bc6e8;0;0;0;0;0;NA;NA;NA;NA;NA;NA;62;NA;NA;Books & Magazines;Entertainment;TRUE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;16.3402777778;NA
511785c3-782e-46df-b5c9-15f9c8f570dc;0;0;0;0;0;NA;NA;NA;NA;NA;NA;18;5.5;1;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;5595;6790;F+L;0;0;0;0;2;8;0;0;0;0;1;1;1;1;1;2;0;0;0;10175;20.1525;NA
4c739526-1973-4ff3-a1d8-cd067545f8bf;0;0;0;0;0;NA;NA;NA;NA;NA;NA;18;NA;NA;Diversified entertainment;Entertainment;FALSE;0;0;L1+F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;23.4947222222;NA
d65ba8e3-6de1-42ee-beef-47ef10f1f0b9;0;0;0;0;0;NA;1;1;NA;NA;NA;29;NA;NA;Books & Magazines;Entertainment;FALSE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;1;0;0;0;0;0;0;0;0;0;0;17.9888888889;NA
d44bed31-e12e-4433-971b-9e8487013626;0;0;0;0;0;NA;NA;NA;NA;NA;NA;36;NA;NA;Diversified entertainment;Entertainment;FALSE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;16.0319444444;NA
7a225c97-100e-4eb8-b431-2c45013d3dbe;0;0;0;0;0;8.1872146119;1;1;NA;1;1;35;3.8035714286;2;Diversified entertainment;Entertainment;TRUE;25290;66910;Nick;0.0172413793;1;0;0;56;55;0;0;0;2;1;1;1;1;1;2;0;135;0;222034;17.8497222222;1
0875b2ed-2187-4e5f-9c64-94f8e04b4806;0;0;0;0;0;NA;NA;NA;NA;NA;NA;27;NA;NA;Books & Magazines;Entertainment;FALSE;0;0;no_match;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;21.35;NA
4b697f06-5c68-443a-a09b-cb5023e3b3aa;0;0;0;0;0;0;1;1;1;2;1;42;18.1;12;Diversified Home & Garden products;Home & Garden;TRUE;155000;155000;F1+L;0;0;0;0;9;8;1;0;0;0;1;1;1;1;2;2;0;7436;0;202485;20.8313888889;NA
91ff473c-a0c1-4640-b591-0294745fb12c;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;15.5;NA;Diversified entertainment;Entertainment;TRUE;4480;4480;F+L;0;0;0;0;2;0;0;0;0;0;1;1;2;0;1;2;0;0;0;6275;13.0877777778;NA
0ae2da9a-143c-42e0-9c85-0319d8544de8;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;46;26.5;NA;Diversified entertainment;Entertainment;TRUE;13495;13495;F+L;0;0;0;0;8;9;2;0;0;0;1;1;1;1;2;2;0;0;0;41110;13.9675;NA
335b71f7-5a99-46de-a11d-c3c5f39b0bd7;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;6.1666666667;8.3333333333;Sports gear & Outdoor;Leisure, Sport & Hobby;TRUE;11385;11385;F+L;0.5;3;0;0;6;1;0;0;0;3;1;1;1;1;1;1;0;0;0;30842;16.9508333333;1
b4954376-7407-4dd5-b801-d3d9c95797f3;0;0;0;0;0;NA;NA;NA;NA;NA;NA;23;12.1666666667;10;Diversified entertainment;Entertainment;TRUE;14609;14609;no_match;0;0;0;0;6;7;0;0;0;0;1;1;1;1;1;2;0;0;0;47998;9.6544444444;NA
7c28b250-0e91-4e2f-bac7-cd33957de446;0;0;0;0;0;NA;NA;NA;NA;NA;NA;59;13;13;Electronic equipment & Related accessories;Electronics;TRUE;2680;2680;no_match;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;2680;13.7747222222;NA
20c8d24e-a24f-4d5e-9b2b-8f54e2ad5e75;0;103632;0;0;0;0.2892613607;1;1;1;1;1;39;8.6666666667;4;Diversified entertainment;Entertainment;TRUE;1885;11480;F+L;0;0;0;0;3;2;0;0;0;5;1;1;1;1;1;1;0;65313;15908;5370;19.5725;NA
7df7594f-6596-41e8-a1b8-798850751faa;0;0;0;0;0;NA;NA;NA;NA;NA;NA;49;NA;NA;Sports gear & Outdoor;Leisure, Sport & Hobby;FALSE;0;0;L1+F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;17.845;NA
5b193c96-aa51-426c-b609-476feae93075;0;0;0;0;0;NA;NA;NA;NA;NA;NA;28;21.1428571429;14;Diversified entertainment;Entertainment;TRUE;39195;39195;F+L;0;0;0;0;5;5;2;0;0;0;1;1;1;1;2;2;0;0;0;77914;16.9113888889;NA
14fb05f2-8cb5-4366-9df6-a2ab5ef4b665;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;1.5;1.5;Sports gear & Outdoor;Leisure, Sport & Hobby;TRUE;4480;4480;F;0.5;1;0;0;2;0;0;0;0;1;1;1;0;1;1;1;0;0;0;6470;22.3419444444;1
bd953c45-b669-4c3a-9897-081dcd1ae22b;0;0;0;0;0;NA;NA;NA;NA;NA;NA;18;15;14;Diversified entertainment;Entertainment;TRUE;2985;2985;no_match;0.5;2;0;0;4;0;0;0;0;2;1;1;1;1;1;1;0;0;0;8565;14.0105555556;1
b1e607f7-ee0f-44e5-9601-0ba05c763dba;0;0;0;0;0;NA;NA;NA;NA;NA;NA;63;NA;NA;Diversified electronics;Electronics;FALSE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;16.8027777778;NA
adc8c99d-2d3f-401a-8b8f-24d43f34ee70;0;6383;0;0;0;0;1;1;1;1;1;41;14.25;13;Diversified entertainment;Entertainment;TRUE;18385;18385;F+L;0.225;9;0;0;33;45;1;0;0;9;1;1;1;2;2;2;0;0;3190;123306;21.6991666667;2
dccfc71e-1130-44b9-8acd-cf18711a9166;0;0;0;0;0;NA;NA;NA;NA;NA;NA;53;NA;NA;Concept stores & Miscellaneous;Leisure, Sport & Hobby;FALSE;0;0;no_match;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;12.9375;NA
e107698f-869a-4b69-a544-89949cc29485;0;0;0;0;0;NA;NA;NA;NA;NA;NA;29;14;NA;Diversified entertainment;Entertainment;TRUE;5279;7185;Nick;0;0;0;0;2;7;0;0;0;0;1;1;1;0;1;1;0;0;0;11859;19.9072222222;NA
919175d3-b520-4b45-99bc-4b63952ad559;0;116160;0;26;0;0.1674641148;1;1;2;1;1;21;20.4285714286;21.5;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;16790;22570;F+L;0.2857142857;2;0;0;7;11;0;0;0;2;1;1;1;1;1;1;0;0;0;86972;7.1375;1
c325422f-2e84-43d0-aeaf-f5419f2811a9;0;0;0;0;0;NA;NA;NA;NA;NA;NA;50;NA;NA;Prints & Photos;Leisure, Sport & Hobby;FALSE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;19.2919444444;NA
5fefaf02-2148-424f-b01e-e888853e9d7a;0;0;0;0;0;0;1;1;NA;1;NA;44;17.7142857143;17;Diversified entertainment;Entertainment;TRUE;36560;50990;no_match;0;0;0;0;21;8;0;0;0;0;1;1;1;1;1;2;0;0;0;208325;13.6961111111;NA
22861eed-aea4-4b15-83a7-71f1609ca1af;0;49124;0;24;0;0.4505476625;1;1;2;1;1;42;18.7083333333;18;Dietary supplements;Health & Beauty;TRUE;16237;18608;F+L;0.08;2;0;0;24;25;0;0;0;16;1;1;1;1;1;2;0;37725;48560;116748;20.9716666667;1
fabb51c9-591b-405d-8239-8ac751e2c490;0;31850;0;0;0;0;1;1;1;1;1;50;18.1071428571;17.8571428571;Books & Magazines;Entertainment;TRUE;52380;52380;no_match;0.0625;2;0;0;28;39;0;0;0;2;1;1;1;1;1;2;0;22108;10710;294433;10.5480555556;1
848321df-9641-499a-b2a5-afb0a57bc473;0;147476;0;0;0;0.0007733259;1;1;1;2;2;20;18;NA;Diversified entertainment;Entertainment;TRUE;5344;5344;L;0;0;0;0;2;1;0;0;0;1;1;1;1;0;1;1;0;40182;35529;7854;16.2780555556;NA
4dff503f-bfa3-4146-8835-46124c467cef;0;39227;0;0;0;1.3773959022;1;1;1;1;1;21;11.5833333333;13;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;14215;14215;no_match;0;0;0;0;12;20;0;0;0;1;1;1;1;1;1;1;0;13;0;91495;10.1133333333;NA
ff16aa5b-9e0e-410b-a1f7-217f07185101;0;0;0;0;0;NA;NA;NA;NA;NA;NA;55;NA;NA;Concept stores & Miscellaneous;Leisure, Sport & Hobby;FALSE;0;0;L1+F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;15.5361111111;NA
90f2027a-27e0-4af6-86e2-4052b25ff98e;0;0;0;0;0;NA;NA;NA;NA;NA;NA;43;10;10;Books & Magazines;Entertainment;TRUE;3510;3510;F+L;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;3510;22.5588888889;NA
9627276a-3cfe-4089-b814-45dfe6bc6777;0;0;0;0;0;0;1;1;NA;NA;NA;44;NA;NA;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;0;0;no_match;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;11000;0;0;21.1194444444;NA
01f9e32d-1070-4e42-a267-65e412c04700;0;0;0;0;0;NA;NA;NA;NA;NA;NA;21;10.5;14;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;7495;8195;L1+F;0;0;0;0;2;2;0;0;0;0;1;1;1;1;1;1;0;0;0;14790;12.3069444444;NA
17ab22f2-dd9e-48b4-8c52-48aff3105622;0;0;0;0;0;NA;NA;NA;NA;NA;NA;44;10.6;NA;Diversified entertainment;Entertainment;TRUE;5170;8292;F+L;0;0;0;0;5;5;0;0;0;0;1;1;1;1;1;1;0;0;0;17410;15.9408333333;NA
b8d8461a-85b3-4d7e-9eca-0cb90af9a81d;0;50131;0;0;0;0.6880257065;1;1;1;1;1;43;25;NA;Books & Magazines;Entertainment;TRUE;11050;11050;F1+L;0;0;0;0;2;0;0;0;0;3;1;1;0;0;1;1;0;145763;24482;17435;18.8511111111;NA
0f5c5b41-f636-482a-a1fb-cf85ac531241;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;41;17.0526315789;16.1666666667;Diversified entertainment;Entertainment;TRUE;7820;7820;F;0.0833333333;2;0;0;18;28;1;0;0;2;1;1;1;1;2;2;0;0;0;83154;9.4430555556;1
82a2f8ba-b359-4e05-9b3f-e6665073a8ae;0;0;0;0;0;0;1;1;1;2;2;43;18.1428571429;19.5;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;13900;13900;F+L;0;0;0;0;7;7;0;0;0;0;1;1;1;1;1;2;0;10549;0;59599;15.7072222222;NA
d2ecf7aa-f0eb-4c0a-b291-c38399bd0dfd;0;0;0;0;0;0.0278567017;1;1;NA;1;1;32;15;10.6666666667;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;14040;14040;F+L;0;0;0;0;11;9;1;0;0;2;1;1;1;2;2;2;0;15739;0;62435;15.2255555556;NA
4b0cabf9-d84b-459a-9954-a2dd963a9d64;0;0;0;0;0;0.0737018425;1;1;NA;1;NA;21;15;NA;Diversified Jewelry & Accessories;Jewelry & Accessories;TRUE;13167;13167;F+L;0.2;1;0;0;5;4;0;0;0;2;1;1;1;1;1;1;0;0;0;45792;15.1866666667;1
4c16adf8-80ec-4df2-947e-bb8577dc7cd6;0;0;0;0;0;4.33;1;1;NA;1;NA;38;NA;NA;Diversified Home & Garden products;Home & Garden;TRUE;0;0;F1+L;NA;1;0;0;0;0;0;NA;NA;2;0;0;0;0;0;0;0;2310;0;0;14.2066666667;1
db91eca1-8f00-4e05-8c72-32d5fe73330f;0;84706;0;0;0;0.7301830101;1;1;1;1;1;44;14;15;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;17735;17735;Nick;0;0;0;0;3;3;0;0;0;4;1;1;1;1;1;1;0;16864;7509;28405;15.3327777778;NA
520bdf8c-62b5-4333-9305-7af1eca72a10;0;0;0;0;0;NA;NA;NA;NA;NA;NA;29;NA;NA;Diversified entertainment;Entertainment;FALSE;0;0;F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;13.5375;NA
2ceda5a1-1beb-4283-b614-86a65d668b09;0;0;0;0;0;NA;NA;NA;NA;NA;NA;51;14.3125;21.3333333333;Diversified entertainment;Entertainment;TRUE;6900;18000;no_match;0;0;0;0;15;5;1;0;0;0;1;1;2;2;2;2;0;0;0;40560;19.5361111111;NA
e1b24cea-dc28-4b74-8bd8-39a01094895f;0;0;0;0;0;NA;NA;NA;NA;NA;NA;33;NA;NA;Sports gear & Outdoor;Leisure, Sport & Hobby;FALSE;0;0;F;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;12.6322222222;NA
9018b685-3fde-436c-96e4-d560d0f37d84;0;29;0;0;0;0.0078630897;1;1;1;1;1;38;18.0689655172;16.6666666667;General Shoes & Clothing;Clothing & Shoes;TRUE;21195;21195;F+L;0.1333333333;4;0;0;27;29;3;0;0;5;1;1;1;1;2;2;0;0;0;358680;16.9513888889;1
8eab15aa-3be8-497b-97d7-2a5f42288ccb;0;0;0;0;0;NA;1;1;1;1;1;39;5.4444444444;4.6666666667;Concept stores & Miscellaneous;Leisure, Sport & Hobby;TRUE;34790;34790;no_match;0;0;0;0;9;11;0;0;0;1;1;1;1;1;1;1;0;0;0;138531;10.9358333333;NA
1b12072c-aeaa-41e4-849b-809a813e7451;0;0;0;0;0;NA;NA;NA;NA;NA;NA;32;21;NA;Diversified children products;Children Products;TRUE;4990;4990;L1+F;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;4990;17.9472222222;NA
96a9a2fe-b8a4-4fac-a107-14a9f5bf7715;0;25964;0;0;0;0.1896290167;1;1;1;1;1;30;3;NA;Travel services;Intangible products;TRUE;6925;6925;F;0;0;0;0;1;0;0;0;0;2;1;2;0;0;1;2;0;5119;0;6925;9.5780555556;NA
90bb719f-a823-403f-9a15-9ef2e24748e0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;18;NA;NA;Youthful Shoes & Clothing;Clothing & Shoes;FALSE;0;0;no_match;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;20.6694444444;NA
1a6d15fc-032f-4e84-8fca-f92f7d4f7292;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;29;7.6;7;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;12400;17580;no_match;0;0;0;0;10;12;0;0;0;0;1;1;1;1;1;1;0;0;0;71689;15.2044444444;NA
323d02eb-9c37-4d09-9307-8b95027362b7;0;19778;0;0;0;0;1;1;1;1;1;44;10;NA;Diversified entertainment;Entertainment;TRUE;21250;21250;L1+F;0;0;0;0;6;10;0;0;0;0;1;1;1;1;1;1;0;0;28989;54007;10.3905555556;NA
c822d4c9-b2af-4566-bb4b-5c2fd5862fca;0;0;0;0;0;NA;NA;NA;NA;NA;NA;52;NA;NA;Prescription optics;Health & Beauty;FALSE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;14.6947222222;NA
433c8845-3502-42c1-bd7f-58d62f424e4d;0;0;0;0;0;NA;NA;NA;NA;NA;NA;19;20;18.75;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;10785;10785;L1+F;0.0333333333;1;0;0;29;29;0;0;0;1;1;1;1;1;1;1;0;0;0;130838;17.3666666667;1
4ed14a16-fb60-4715-86f5-5c304cc3afe3;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;51;16.7777777778;21;Youthful Shoes & Clothing;Clothing & Shoes;TRUE;4565;4565;L1+F;0;0;0;0;9;0;0;0;0;0;1;1;1;1;1;2;0;0;0;33063;9.8227777778;NA
0104a399-7b1b-4125-b7b4-4a28095c4d7a;0;0;0;0;0;NA;NA;NA;NA;NA;NA;69;NA;NA;Diversified entertainment;Entertainment;FALSE;0;0;F+L;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;17.5755555556;NA
55fde8f3-7cc1-4628-ab7f-21340127b974;0;0;0;0;0;0.1932016996;1;2;NA;1;1;25;39;NA;Diversified entertainment;Entertainment;TRUE;2095;8343;no_match;0;0;0;0;0;4;1;0;0;1;2;1;1;0;2;2;0;12442;0;2595;7.5294444444;NA
920a42fe-63ac-40a2-a83d-270051353845;0;0;0;0;0;NA;NA;NA;NA;NA;NA;27;10.4;9.3333333333;Diversified entertainment;Entertainment;TRUE;11795;11795;F+L;0.1;1;0;0;10;9;0;0;0;1;1;1;1;1;1;1;0;0;0;32405;19.295;1
182e8f6b-7d30-477f-aa8b-7fa1573e351d;0;4301;0;0;0;0;1;1;1;1;1;51;21.9;NA;Diversified entertainment;Entertainment;TRUE;3800;7355;F;0;0;0;0;7;8;3;0;0;0;2;2;1;2;2;2;0;2790;0;27375;16.1616666667;NA
951b606a-6d5f-441c-8774-ed3d47f20523;0;0;0;0;0;NA;NA;NA;NA;NA;NA;36;11.6875;10;Diversified entertainment;Entertainment;TRUE;3390;4285;Nick;0;0;0;0;32;29;0;0;0;0;1;1;1;1;1;1;0;0;0;43577;19.0058333333;NA
